date,end,start,high,low,volume,percent
2022-06-06,31.185,29.911,31.304,29.889,53.98K,4.25%
2022-06-05,29.913,29.865,30.167,29.539,30.33K,0.16%
2022-06-04,29.864,29.701,29.964,29.49,33.51K,0.55%
2022-06-03,29.701,30.456,30.675,29.331,72.13K,-2.48%
2022-06-02,30.456,29.799,30.639,29.604,81.40K,2.20%
2022-06-01,29.799,31.793,31.97,29.397,135.09K,-6.27%
2022-05-31,31.793,31.73,32.378,31.221,86.60K,0.22%
2022-05-30,31.723,29.465,32.186,29.307,129.56K,7.66%
2022-05-29,29.465,29.027,29.557,28.839,36.87K,1.51%
2022-05-28,29.027,28.62,29.194,28.537,43.87K,1.49%
2022-05-27,28.601,29.194,29.377,28.282,116.41K,-2.06%
2022-05-26,29.204,29.538,29.869,28.078,126.71K,-1.14%
2022-05-25,29.541,29.649,30.202,29.354,78.85K,-0.36%
2022-05-24,29.649,29.092,29.811,28.706,79.42K,1.91%
2022-05-23,29.093,30.287,30.645,28.914,92.10K,-3.94%
2022-05-22,30.287,29.433,30.462,29.26,50.60K,2.89%
2022-05-21,29.435,29.189,29.623,28.954,32.27K,0.88%
2022-05-20,29.179,30.306,30.735,28.739,98.78K,-3.72%
2022-05-19,30.306,28.7,30.525,28.682,101.38K,5.66%
2022-05-18,28.684,30.438,30.688,28.648,92.03K,-5.76%
2022-05-17,30.438,29.857,30.72,29.485,79.63K,1.97%
2022-05-16,29.849,31.308,31.312,29.136,100.25K,-4.66%
2022-05-15,31.309,30.079,31.384,29.499,65.44K,4.08%
2022-05-14,30.08,29.285,30.277,28.667,70.46K,2.72%
2022-05-13,29.284,28.994,31.003,28.755,141.23K,1.06%
2022-05-12,28.976,29.073,30.137,26.501,309.48K,-0.32%
2022-05-11,29.068,31.008,32.114,27.836,296.90K,-6.25%
2022-05-10,31.008,30.098,32.621,29.831,235.61K,3.03%
2022-05-09,30.095,34.041,34.227,30.095,268.09K,-11.64%
2022-05-08,34.06,35.468,35.497,33.727,671.05M,-3.97%
2022-05-07,35.468,36.003,36.119,34.773,288.86M,-1.50%
2022-05-06,36.009,36.54,36.646,35.267,752.84M,-1.46%
